name,description,birthDate,deathDate,nationality
[Thai] - William Shakespeare,English playwright and poet widely regarded as the greatest writer in the English language,1564-04-23T00:00:00.000Z,1616-04-23T00:00:00.000Z,English
[Thai] - Jane Austen,English novelist known for her romantic fiction and social commentary,1775-12-16T00:00:00.000Z,1817-07-18T00:00:00.000Z,English
[Thai] - Leo Tolstoy,Russian writer famous for epic novels like War and Peace,1828-09-09T00:00:00.000Z,1910-11-20T00:00:00.000Z,Russian
[Thai] - Virginia Woolf,English modernist writer known for her stream-of-consciousness style,1882-01-25T00:00:00.000Z,1941-03-28T00:00:00.000Z,English
[Thai] - Gabriel García Márquez,Colombian novelist and Nobel laureate pioneer of magical realism,1927-03-06T00:00:00.000Z,2014-04-17T00:00:00.000Z,Colombian
[Thai] - Franz Kafka,Czech writer known for his surreal and existential works,1883-07-03T00:00:00.000Z,1924-06-03T00:00:00.000Z,Czech
[Thai] - Agatha Christie,English writer of detective fiction creator of Hercule Poirot,1890-09-15T00:00:00.000Z,1976-01-12T00:00:00.000Z,English
[Thai] - Mark Twain,American writer and humorist author of Tom Sawyer and Huckleberry Finn,1835-11-30T00:00:00.000Z,1910-04-21T00:00:00.000Z,American
[Thai] - Emily Dickinson,American poet known for her reclusive life and unique poetry,1830-12-10T00:00:00.000Z,1886-05-15T00:00:00.000Z,American
[Thai] - Haruki Murakami,Japanese writer blending surrealism and contemporary themes,1949-01-12T00:00:00.000Z,,Japanese
[Thai] - Fyodor Dostoevsky,Russian novelist exploring human psychology and morality,1821-11-11T00:00:00.000Z,1881-02-09T00:00:00.000Z,Russian
[Thai] - Toni Morrison,American novelist and Nobel laureate known for works on African-American experience,1931-02-18T00:00:00.000Z,2019-08-05T00:00:00.000Z,American
[Thai] - George Orwell,English writer known for dystopian novels like 1984,1903-06-25T00:00:00.000Z,1950-01-21T00:00:00.000Z,English
[Thai] - Chinua Achebe,Nigerian novelist and poet author of Things Fall Apart,1930-11-16T00:00:00.000Z,2013-03-21T00:00:00.000Z,Nigerian
[Thai] - J.K. Rowling,British author of the Harry Potter series,1965-07-31T00:00:00.000Z,,British
[Thai] - Homer,Ancient Greek poet traditionally considered the author of the Iliad and Odyssey,1200-01-01T00:00:00.000Z,,Greek
[Thai] - Victor Hugo,French writer of historical novels like Les Misérables,1802-02-26T00:00:00.000Z,1885-05-22T00:00:00.000Z,French
[Thai] - Maya Angelou,American poet and civil rights activist author of I Know Why the Caged Bird Sings,1928-04-04T00:00:00.000Z,2014-05-28T00:00:00.000Z,American
[Thai] - Ernest Hemingway,American novelist and Nobel laureate known for his concise style,1899-07-21T00:00:00.000Z,1961-07-02T00:00:00.000Z,American
[Thai] - Simone de Beauvoir,French writer and philosopher key figure in feminist existentialism,1908-01-09T00:00:00.000Z,1986-04-14T00:00:00.000Z,French
